,,kb_v,kb_lgui,,kb_f3,kb_1,
,,,,,kb_q,,
,flock_TODO,kb_escape,s5_TODO,,kb_f6,kb_4,kb_lctrl
kb_lalt,search_TODO,,s3_TODO,,kb_e,kb_2,kb_mute
,,,,,kb_r,,
kp_lparen,,kp_lt,,kp_rparen,kb_pause,kb_insert,kp_equal
,,,,,,,
,,,,,kb_w,,
kp_7,kb_righta,kb_menu,kb_numlock,kp_4,,kb_k,kp_1
kb_lbr,kb_n,kb_f8,kb_u,kb_8,kb_s,kb_minus,kb_h
kb_rbr,kb_m,kb_f9,kb_i,kb_9,kb_d,kb_equal,kb_quote
kb_ralt,,kb_z,star_TODO,,kb_space,kb_dot,kb_volu
kp_9,kp_dot,,kp_mul,kp_6,,kb_semicolon,kp_3
,,,,,kb_t,,
kp_8,kp_0,,kp_slash,kp_5,,kb_l,kp_2
,,,,,,,
,web_TODO,kb_c,s2_TODO,,kb_f2,kb_backslash_left,kb_rctrl
,kb_comma,kb_f10,kb_o,kb_10,kb_f,kb_5,kb_backslash
,,kb_return,s4_TODO,kb_lshift,kb_f5,kb_3,al_calculator
play_TODO,,kb_x,s1_TODO,kb_rshift,kb_f1,kb_slash,kb_vold
kb_home,kb_lefta,kb_f11,kb_printscreen,kb_delete,kb_tab,kb_6,kb_upa
kb_end,kb_downa,kb_f12,kb_scrolllock,kb_pageup,,kb_j,kb_pagedown
kp_plus,kb_capslock,,kp_minus,,,kb_backspace,kp_enter
kb_p,kb_b,kb_f7,kb_y,kb_7,kb_a,kb_tilde,kb_g
