human_name,name,special,normalid,extended_id,Top,Bottom,T0,B0
webHome,web_TODO,1,,,7,24,2,12
search,search_TODO,1,,,7,5,2,5
mail,mail_TODO,1,,,10,26,5,14
s1,s1_TODO,1,,,9,27,4,15
s2,s2_TODO,1,,,9,24,4,12
s3,s3_TODO,1,,,9,5,4,5
s4,s4_TODO,1,,,9,26,4,14
s5,s5_TODO,1,,,9,4,4,4
s*,star_TODO,1,,,9,23,4,11
mute,kb_mute,,127,,13,5,8,5
vol-,kb_vold,,129,,13,27,8,15
vol+,kb_volu,,128,,13,23,8,11
play/pause,play_TODO,1,,,6,27,1,15
calculator,al_calculator,1,,,13,26,8,14
esc,kb_escape,,41,,8,4,3,4
f1/help,kb_f1,,58,,11,27,6,15
f2/undo,kb_f2,,59,,11,24,6,12
f3/redo,kb_f3,,60,,11,2,6,2
f4/new,kb_f4,,61,,11,5,6,5
f5/new,kb_f5,,62,,11,26,6,14
f6/close,kb_f6,,63,,11,4,6,4
f7/reply,kb_f7,,64,,8,20,3,8
f8/fwd,kb_f8,,65,,8,21,3,9
f9/send,kb_f9,,66,,8,22,3,10
f10/spell,kb_f10,,67,,8,25,3,13
f11/save,kb_f11,,68,,8,28,3,16
f12/print,kb_f12,,69,,8,29,3,17
flock,flock_TODO,1,,,7,4,2,4
printscrn,kb_printscreen,,70,,9,28,4,16
scrlLock,kb_scrolllock,,71,,9,29,4,17
pause br,kb_pause,,72,,11,31,6,19
KP=,kp_equal,,103,,13,31,8,19
KP(,kp_lparen,,182,,6,31,1,19
KP),kp_rparen,,183,,10,31,5,19
KP<,kp_lt,,197,,8,31,3,19
~,kb_tilde,,53,,12,20,7,8
1,kb_1,,30,,12,2,7,2
2,kb_2,,31,,12,5,7,5
3,kb_3,,32,,12,26,7,14
4,kb_4,,33,,12,4,7,4
5,kb_5,,34,,12,25,7,13
6,kb_6,,35,,12,28,7,16
7,kb_7,,36,,10,20,5,8
8,kb_8,,37,,10,21,5,9
9,kb_9,,38,,10,22,5,10
0,Kb_0,,39,,10,25,5,13
-,kb_minus,,45,,12,21,7,9
+,kb_equal,,46,,12,22,7,10
backspace,kb_backspace,,42,,12,30,7,18
tab,kb_tab,,43,,11,28,6,16
q,kb_q,,20,,11,3,6,3
w,kb_w,,26,,11,1,6,1
e,kb_e,,8,,11,17,6,5
r,kb_r,,21,,11,18,6,6
t,kb_t,,23,,11,19,6,7
y,kb_y,,28,,9,20,4,8
u,kb_u,,24,,9,21,4,9
I,kb_i,,12,,9,22,4,10
o,kb_o,,18,,9,25,4,13
p,kb_p,,19,,6,20,1,8
[,kb_lbr,,47,,6,21,1,9
],kb_rbr,,48,,6,22,1,10
capslock,kb_capslock,,57,,7,30,2,18
a,kb_a,,4,,11,20,6,8
s,kb_s,,22,,11,21,6,9
d,kb_d,,7,,11,22,6,10
f,kb_f,,9,,11,25,6,13
g,kb_g,,10,,13,20,8,8
h,kb_h,,11,,13,21,8,9
j,kb_j,,13,,12,29,7,17
k,kb_k,,14,,12,33,7,21
l,kb_l,,15,,12,34,7,22
;,kb_semicolon,,51,,12,32,7,20
',kb_quote,,52,,13,22,8,10
\(top),kb_backslash,,49,,13,25,8,13
enter,kb_return,,40,,8,26,3,14
Left shift,kb_lshift,,225,,10,26,5,14
\(bottom),kb_backslash_left,,100,,12,24,7,12
z,kb_z,,29,,8,23,3,11
x,kb_x,,27,,8,27,3,15
c,kb_c,,6,,8,24,3,12
v,kb_v,,25,,8,2,3,2
b,kb_b,,5,,7,20,2,8
n,kb_n,,17,,7,21,2,9
m,kb_m,,16,,7,22,2,10
",",kb_comma,,54,,7,25,2,13
.,kb_dot,,55,,12,23,7,11
/,kb_slash,,56,,12,27,7,15
rshift,kb_rshift,,229,,10,27,5,15
lctrl,kb_lctrl,,224,,13,4,8,4
lsuper,kb_lgui,,227,,9,2,4,2
lalt,kb_lalt,,226,,6,5,1,5
ralt,kb_ralt,,230,,6,23,1,11
rmenu,kb_menu,,118,,8,33,3,21
rctrl,kb_rctrl,,228,,13,24,8,12
insert,kb_insert,,73,,12,31,7,19
home,kb_home,,74,,6,28,1,16
pgup,kb_pageup,,75,,10,29,5,17
delete,kb_delete,,76,,10,28,5,16
end,kb_end,,77,,6,29,1,17
pgdown,kb_pagedown,,78,,13,29,8,17
leftArrow,kb_lefta,,80,,7,28,2,16
upArrow,kb_upa,,82,,13,28,8,16
downArrow,kb_downa,,81,,7,29,2,17
rightArrow,kb_righta,,79,,7,33,2,21
numLock,kb_numlock,,83,,9,33,4,21
kp/,kp_slash,,84,,9,34,4,22
kp*,kp_mul,,85,,9,32,4,20
kp-,kp_minus,,86,,9,30,4,18
kp7,kp_7,,95,,6,33,1,21
kp8,kp_8,,96,,6,34,1,22
kp9,kp_9,,97,,6,32,1,20
kp+,kp_plus,,87,,6,30,1,18
kp4,kp_4,,92,,10,33,5,21
kp5,kp_5,,93,,10,34,5,22
kp6,kp_6,,94,,10,32,5,20
kp1,kp_1,,89,,13,33,8,21
kp2,kp_2,,90,,13,34,8,22
kp3,kp_3,,91,,13,32,8,20
kpEnter,kp_enter,,88,,13,30,8,18
kp0,kp_0,,98,,7,34,2,22
"kp,",kp_dot,,99,,7,32,2,20
space,kb_space,,44,,11,23,6,11
m1,m1,,,,,35,1,X
m2,m2,,,,,35,7,X
m3,m3,,,,,35,8,X
